COHORTE,COLOMBIA GRANTEES - US UNIVERSITY,UNIVERSITY 1
1990,Northwestern U.,U. Eafit-
1990,Suny college of environmental science and forestry,U. Pedagogica y tecnologica de Col. - uptc
1990,Columbia U. In the city of new york,U. De los andes
1990,U. Of kansas,U. Javeriana
1990,George washington U. the,U. Javeriana
1990,The new school,U. De los andes
1990,U. Of illinois at urbana-champaign,U. Externado de Col.
1990,Cornell U.,U. De los andes
1990,Yale U.,U. De los andes
1990,California state U. - fresno,U. Libre
1990,Riverside U. High school,U. Libre
1990,Boston college,U. Nal. De Col.
1990,Arizona state U.,U. Incca de Col.
1990,Charlotte meckmenberg district school,U. De los andes
1990,Southern illinois U. Carbondale,U. Industrial de std
1990,U. Of missouri - columbia,U. Javeriana
1990,U. Of iowa,U. De los andes
1990,Suny at binghamton,U. Javeriana
1990,Northern arizona U.,U. Industrial de std
1990,Leesville high school,U. Javeriana
1990,Northern arizona U.,U. Del valle
1990,U. Of utah,U. De nariño
1990,U. Of louisville,U. Del cauca
1990,Tulane U.,U. Javeriana
1990,U. Of south florida,U. Del norte
1990,Johns hopkins U.,U. De san buenaventura
1990,U. Of maryland - college park,U. Nal. De Col.
1990,Boston college,U. Pontificia bolivariana
1991,U. Of illinois at urbana-champaign,U. Nal. De Col.
1991,Suny college of environmental science and forestry,U. Autonoma del caribe- uniautonoma
1991,School of visual arts,Fundacion U. De bogota - jorge tadeo lozano
1991,U. Of florida,U. Javeriana
1991,U. Of arizona,U. De los andes
1991,Suny stony brook,U. De los andes
1991,Jefferson county open school,U. Pedagogica nal.
1991,Boston U.,Fundacion U. De bogota - jorge tadeo lozano
1991,Harvard U.,Colegio mayor de nuestra señora del rosario
1991,Ohio U. - main campus,U. Del norte
1991,U. Of california, berkeley,U. Pedagogica nal.
1991,Pembroke academy,U. Nal. De Col.
1991,Louisiana state U. And a&m college,U. De cartagena
1991,Purdue U.,U. Del cauca
1991,Texas a&m U.,U. Nal. De Col.
1991,Pennsylvania state U.,U. De los andes
1991,U. Of massachusetts amherst,U. Javeriana
1991,South lakes high school,U. Pedagogica nal.
1991,Northern arizona U.,U. De la salle
1991,Southern illinois U. Carbondale,U. De caldas
1991,U. Of hawaii at manoa,U. Pontificia bolivariana
1991,Berklee college of music,U. Pedagogica nal.
1991,Lehigh U.,U. De los andes
1991,The new school,U. De los andes
1991,Loyola U. Of chicago,U. Del norte
1991,Indiana U. Bloomington,U. Javeriana
1991,Iowa state U.,U. Nal. De Col.
1991,Playwright horizons,U. De antioquia
1992,Ferris state U.,U. De nariño
1992,U. Of florida,U. De los andes
1992,U. Of north carolina at chapel hill,U. De los andes
1992,Virginia commonwealth U.,U. De antioquia
1992,Ohio U. - main campus,U. Autonoma del caribe- uniautonoma
1992,Johns hopkins U.,U. Javeriana
1992,U. Of michigan - ann arbor,U. De los andes
1992,Harvard U.,U. De los andes
1992,New york U.,U. De los andes
1992,Southern illinois U. Carbondale,U. De caldas
1992,U. Of hawaii at manoa,U. Nal. De Col.
1992,Regis U.,U. Pedagogica nal.
1992,Harvard U.,U. Del valle
1992,Groveport madison local schools,U. Pedagogica nal.
1992,Suny at albany,U. Javeriana
1992,Ohio U. - main campus,U. De antioquia
1992,Sylvan hills junior high school,U. Nal. De Col.
1992,Ball state U.,U. Industrial de std
1992,U. Of arizona,U. Del valle
1992,Melbourne high school,U. Del valle
1992,U. Of oregon,U. De antioquia
1992,Harvard U.,Colegio mayor de nuestra señora del rosario
1992,U. Of arizona,U. Nal. De Col.
1992,U. Of oregon,U. Javeriana
1992,New york U.,U. Javeriana
1992,Harvard U.,U. De los andes
1992,U. Of connecticut,U. De los andes
1992,Johns hopkins U.,U. De los andes
1992,U. Of pittsburgh - main campus,U. Del valle
1992,U. Of delaware,U. Javeriana
1993,Suny stony brook,U. De los andes
1993,Virginia polytechnic institute and state U.,U. Nal. De Col.
1993,Harvard U.,U. Of illinois
1993,Pennsylvania state U.,U. Javeriana
1993,U. Of maryland - college park,U. De los andes
1993,New york U.,U. De los andes
1993,Purdue U.,U. De los andes
1993,Suny stony brook,U. De antioquia
1993,Harvard U.,Mc gill U.
1993,Homestead high school,U. Pedagogica nal.
1993,Summit parkway middle school,U. Libre
1993,Boston U.,U. De los andes
1993,U. Of central florida,U. Javeriana
1993,California state U. - fresno,U. SurCol.
1993,U. Of minnesota - twin cities,U. Del cauca
1993,U. Of florida,U. Industrial de std
1993,Tulane U.,U. De los andes
1993,U. Of pittsburgh - main campus,U. De los andes
1993,Georgia institute of technology - main campus,U. Del valle
1993,Lehigh U.,U. De antioquia
1993,East high school,U. Pedagogica nal.
1993,Michigan state U.,U. De los andes
1993,Virginia polytechnic institute and state U.,U. Nal. De Col.
1993,Virginia polytechnic institute and state U.,U. De antioquia
1994,Johns hopkins U.,U. De los andes
1994,Harvard U.,U. De los andes
1994,U. Of washington,U. De los andes
1994,Columbia U. In the city of new york,U. Nal. De Col.
1994,Ohio state U.,U. Del valle
1994,Suny college of environmental science and forestry,Fundacion U. De bogota - jorge tadeo lozano
1994,Ohio state U.,Fundacion U. De bogota - jorge tadeo lozano
1994,Harvard U.,U. De los andes
1994,U. Of illinois at urbana-champaign,U. Javeriana
1994,New york U.,U. De los andes
1994,U. Of california, berkeley,U. Del atlantico
1994,Preston plains school,U. Del quindio
1994,Indiana U. Bloomington,U. Del valle
1994,Red mountain high school,U. Santo tomas
1994,Rancho bernardo high school,U. Industrial de std
1994,U. Of north florida,U. Javeriana
1994,U. Of maryland - college park,U. De los andes
1994,The U. Of texas at arlington,U. Pontificia bolivariana
1994,Suny stony brook,U. Nal. De Col.
1994,San francisco art institute,U. De los andes
1994,U. Of texas at austin,U. Pedagogica nal.
1994,Simmons college,U. De los andes
1994,U. Of south carolina - columbia,Gales
1994,U. Of southern california,U. De nariño
1994,Tulane U.,U. Javeriana
1994,Pennsylvania state U.,U. Nal. De Col.
1995,Savannah college of art and design,U. De los andes
1995,U. Of florida,U. De los andes
1995,U. Of missouri - columbia,U. Del valle
1995,U. Of california, berkeley,U. De los andes
1995,New york U.,U. Nal. De Col.
1995,U. Of california - los angeles,U. Javeriana
1995,U. Of washington,U. De los andes
1995,Columbia U. In the city of new york,U. De los andes
1995,Yale U.,U. Javeriana
1995,U. Of maryland - college park,U. De san buenaventura
1995,U. Of arizona,U. Santo tomas
1995,U. Of georgia,U. De antioquia
1995,The new school,U. Javeriana
1995,Stanford U.,U. Of kharkov
1995,Lehigh U.,U. Del valle
1995,Cornell U.,U. Nal. De Col.
1995,Billinghurst b.d.,U. Nal. De Col.
1995,Hamilton central school,U. La gran Col.
1995,R.j.bailey school,U. La gran Col.
1995,U. Of pittsburgh - main campus,U. Del atlantico
1995,U. Of maryland - baltimore,U. Nal. De Col.
1995,Bard college,U. Nal. De Col.
1995,Pennsylvania state U.,U. De los andes
1995,U. Of illinois at chicago,U. De los andes
1995,Miami U.,U. Pedagogica y tecnologica de Col. - uptc
1995,The new school,U. Javeriana
1995,City college of new york of the city U. Of new york,U. De antioquia
1995,U. Of texas at austin,U. De los andes
1996,U. Of florida,U. Nal. De Col.
1996,U. Of florida,U. De los andes
1996,The U. Of texas medical branch,U. Del cauca
1996,The U. Of texas medical branch,U. Del cauca
1996,Cornell U.,U. Del valle
1996,Ohio U. - main campus,U. Autonoma de bucaramanga-unab-
1996,Harvard U.,U. De los andes
1996,New york U.,U. De los andes
1996,Harvard U.,U. Javeriana
1996,Roosevelt junior high school,U. Del atlantico
1996,Joseph h. Crawford elementary school,U. Industrial de std
1996,Manual arts high school,U. Pedagogica nal.
1996,Northern arizona U.,U. De los andes
1996,Harvard U.,U. Javeriana
1996,U. Of new hampshire,U. Pedagogica nal.
1996,Indiana U. Bloomington,U. Javeriana
1996,The new school,U. De san buenaventura
1996,Michigan state U.,U. De cartagena
1997,Woodstock academy,U. De antioquia
1997,U. Of california - los angeles,U. De los andes
1997,Rutgers, the state U. Of new jersey,U. De los andes
1997,Johns hopkins U.,U. Javeriana
1997,New york U.,U. De los andes
1997,Cornell U.,U. De los andes
1997,U. Of kansas,U. Pontificia bolivariana
1997,The new school,U. Javeriana
1997,U. Of california, berkeley,U. Libre
1997,Georgetown U.,U. Javeriana
1997,Suny at binghamton,Colegio mayor de nuestra señora del rosario
1997,Oklahoma state U.,U. De antioquia
1997,U. Of california, berkeley,U. De los andes
1997,Manual arts high school,U. Libre
1997,Washington irving middle school,U. Técnica del norte, ibarra
1997,U. Of rochester,U. Pedagogica nal.
1997,Michigan state U.,U. Eafit-
1997,Ohio state U.,U. Javeriana
1997,U. Of maryland - college park,U. Distrital-francisco jose de caldas
1997,Boston U.,U. Pontificia bolivariana
1997,Ohio state U.,U. Nal. De Col.
1997,Northeastern U.,U. De los andes
1997,Timothy dwight school,U. Distrital-francisco jose de caldas
1997,U. Of arizona,U. Del cauca
1997,Suny stony brook,U. De antioquia
1997,Harvard U.,U. Nal. De Col.
1997,Suny college of environmental science and forestry,U. De los andes
1997,Texas a&m U.,U. De los andes
1997,Naropa U.,U. De los andes
1997,Syracuse U.,U. Nal. De Col.
1997,New york medical college,U. De cartagena
1997,U. Of missouri - columbia,U. De caldas
1998,Suny college of environmental science and forestry,Fundacion U. De bogota - jorge tadeo lozano
1998,U. Of california, berkeley,U. De los andes
1998,Texas a&m U.,U. Javeriana
