COHORTE,COLOMBIA GRANTEES - US UNIVERSITY,UNIVERSITY 1
1998,U. Of southern california,Fundacion U. De bogota - jorge tadeo lozano
1998,Suny at buffalo,Fundacion U. De bogota - jorge tadeo lozano
1998,Cornell U.,U. Del tolima
1998,Harvard U.,U. Complutense
1998,New york film academy, new york,U. Nal. De Col.
1998,U. Of cincinnati,U. Javeriana
1998,Brandeis U.,U. De antioquia
1998,Yale U.,U. De los andes
1998,Boston U.,U. Externado de Col.
1998,City college of new york of the city U. Of new york,U. De los andes
1998,Cornell U.,U. De los andes
1998,U. Of north florida,Corporacion U. De la costa cuc
1998,Marttawan middle school,U. Técnica del norte, ibarra
1998,U. Of alaska fairbanks,U. De caldas
1998,Syracuse U.,U. De antioquia
1998,U. Of cincinnati,Escuela Col. de ingenieria julio garavito
1998,U. Of nebraska - lincoln,U. De la salle
1998,Michigan state U.,U. Eafit-
1998,San diego state U.,U. De los andes
1998,Washington state U.,U. Tecnologica de bolivar
1998,Georgia state U.,U. Javeriana
1998,Suny stony brook,U. Nal. De Col.
1998,City college of new york of the city U. Of new york,U. Distrital-francisco jose de caldas
1998,Ephrata high school,U. Javeriana
1998,U. Of maryland - baltimore,U. Pedagogica nal.
1998,U. Of massachusetts - boston,U. Pedagogica y tecnologica de Col. - uptc
1998,Biscayne gardens elementary school,U. Distrital-francisco jose de caldas
1998,Deer park middle magnet school,U. Javeriana
1998,U. Of north carolina at chapel hill,U. De antioquia
1998,U. Of north florida,U. De antioquia
1998,Brown U.,U. De antioquia
1999,U. Of illinois at urbana-champaign,U. De los andes
1999,Babson college,U. Eafit-
1999,Stanford U.,U. Eafit-
1999,Syracuse U.,U. Eafit-
1999,Southern illinois U. Edwardsville,American U.
1999,Southern illinois U. Edwardsville,U. Eafit-
1999,The new school,U. Nal. De Col.
1999,U. Of cincinnati,U. De los andes
1999,U. Of cincinnati,U. Nal. De Col.
1999,School of the art institute of chicago,U. De los andes
1999,U. Of louisville,U. De antioquia
1999,U. Of illinois at chicago,U. Javeriana
1999,Suny college of environmental science and forestry,U. De los andes
1999,U. Of michigan - ann arbor,U. Del valle
1999,Cornell U.,U. De los andes
1999,The new school,U. Javeriana
1999,Boston U.,U. Externado de Col.
1999,Loyola U. Of chicago,Colegio mayor de nuestra señora del rosario
1999,U. Of notre dame,U. De los andes
1999,Yale U.,U. De los andes
1999,Georgetown U.,U. De los andes
1999,Biscayne gardens elementary school,U. La gran Col.
1999,U. Of florida,U. De caldas
1999,Southern illinois U. Carbondale,U. Pedagogica nal.
1999,Colorado state U.,U. Nal. De Col.
1999,Southern illinois U. Carbondale,U. Eafit-
1999,U. Of georgia,U. SurCol.
1999,U. Of florida,U. De cordoba
1999,U. Of illinois at urbana-champaign,Escuela Col. de ingenieria julio garavito
1999,Massachusetts institute of technology,U. De los andes
1999,U. Of new hampshire,U. De los andes
1999,Suny at buffalo,U. Eafit-
1999,Temple U.,U. Distrital-francisco jose de caldas
1999,U. Of kansas,U. Icesi
1999,U. Of pittsburgh - main campus,U. Pontificia bolivariana
1999,Vanderbilt U.,U. Pontificia bolivariana
1999,Massachusetts institute of technology,U. De los andes
1999,U. Of florida,U. Nal. De Col.
1999,Pennsylvania state U.,U. Industrial de std
1999,U. Of illinois at urbana-champaign,U. Pedagogica nal.
1999,Ephrata high school,U. Nal. De Col.
1999,Marttawan middle school,U. Nal. De Col.
1999,U. Of arizona,U. Del tolima
1999,Deer park middle magnet school,U. Del cauca
1999,U. Of south florida,U. De cartagena
1999,Ohio state U.,U. Javeriana
1999,U. Of oregon,U. Javeriana
1999,California institute of the arts,U. Javeriana
1999,Michigan state U.,U. Incca de Col.
1999,City college of new york of the city U. Of new york,U. Catolica de Col.
1999,Purdue U.,U. Nal. De Col.
1999,Texas a&m U.,U. De antioquia
1999,U. Of illinois at urbana-champaign,U. De antioquia
1999,U. Of cincinnati,Escuela Col. de ingenieria julio garavito
1999,The new school,U. Javeriana
